seed,method,run,selected_checkpoint,selection_csv,eval_csv,dev_success_rate,dev_collision_rate,dev_offroad_rate,dev_timeout_rate,dev_route_completion_mean,dev_episode_cost_mean,dev_safety_efficiency_score,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_cost_mean,safety_efficiency_score
2000,naive,multiseed_axis1_naive_stable_seed2000,final.zip,runs/research_v1/multiseed_axis1_select/multiseed_axis1_naive_stable_seed2000/checkpoint_selection.csv,runs/research_v1/eval_multiseed_axis1_naive_stable_seed2000_selected_finalheldout/eval/heldout_random.csv,0.51,0.15,0.42,0.49,0.7276738940431854,228.12,-0.305,0.46,0.25,0.51,0.54,0.7264131904252821,251.69,-0.5700000000000001
2000,fasb,multiseed_axis1_fasb_stable_seed2000,latest_300000_steps.zip,runs/research_v1/multiseed_axis1_select/multiseed_axis1_fasb_stable_seed2000/checkpoint_selection.csv,runs/research_v1/eval_multiseed_axis1_fasb_stable_seed2000_selected_finalheldout/eval/heldout_random.csv,0.44,0.24,0.41,0.56,0.6416760288534289,250.93,-0.49,0.4,0.25,0.45,0.6,0.6753352749566112,245.97,-0.6
3000,naive,multiseed_axis1_naive_stable_seed3000,latest_100000_steps.zip,runs/research_v1/multiseed_axis1_select/multiseed_axis1_naive_stable_seed3000/checkpoint_selection.csv,runs/research_v1/eval_multiseed_axis1_naive_stable_seed3000_selected_finalheldout/eval/heldout_random.csv,0.47,0.34,0.32,0.53,0.7288745726516743,248.25,-0.45500000000000007,0.45,0.27,0.48,0.55,0.7298227848295,246.7,-0.575
3000,fasb,multiseed_axis1_fasb_stable_seed3000,latest_100000_steps.zip,runs/research_v1/multiseed_axis1_select/multiseed_axis1_fasb_stable_seed3000/checkpoint_selection.csv,runs/research_v1/eval_multiseed_axis1_fasb_stable_seed3000_selected_finalheldout/eval/heldout_random.csv,0.46,0.27,0.34,0.54,0.6949251509589913,242.44,-0.42000000000000004,0.43,0.28,0.44,0.57,0.6737360646301337,253.77,-0.575
4000,naive,multiseed_axis1_naive_stable_seed4000,latest_200000_steps.zip,runs/research_v1/multiseed_axis1_select/multiseed_axis1_naive_stable_seed4000/checkpoint_selection.csv,runs/research_v1/eval_multiseed_axis1_naive_stable_seed4000_selected_finalheldout/eval/heldout_random.csv,0.48,0.27,0.44,0.52,0.697271760985888,242.75,-0.49000000000000005,0.38,0.28,0.53,0.62,0.6603405659887911,285.09,-0.74
4000,fasb,multiseed_axis1_fasb_stable_seed4000,final.zip,runs/research_v1/multiseed_axis1_select/multiseed_axis1_fasb_stable_seed4000/checkpoint_selection.csv,runs/research_v1/eval_multiseed_axis1_fasb_stable_seed4000_selected_finalheldout/eval/heldout_random.csv,0.53,0.16,0.37,0.47,0.6913233237737029,239.1,-0.235,0.46,0.18,0.48,0.54,0.6862229059794933,246.7,-0.47
6000,naive,multiseed_axis1_naive_stable_seed6000,final.zip,runs/research_v1/multiseed_axis1_select/multiseed_axis1_naive_stable_seed6000/checkpoint_selection.csv,runs/research_v1/eval_multiseed_axis1_naive_stable_seed6000_selected_finalheldout/eval/heldout_random.csv,0.57,0.27,0.5,0.43,0.7320251626786028,244.35,-0.41500000000000004,0.4,0.23,0.57,0.6,0.6600896927056266,291.27,-0.7
6000,fasb,multiseed_axis1_fasb_stable_seed6000,latest_100000_steps.zip,runs/research_v1/multiseed_axis1_select/multiseed_axis1_fasb_stable_seed6000/checkpoint_selection.csv,runs/research_v1/eval_multiseed_axis1_fasb_stable_seed6000_selected_finalheldout/eval/heldout_random.csv,0.49,0.22,0.37,0.51,0.6991417720844544,243.82,-0.355,0.47,0.26,0.41,0.53,0.7041020402055754,255.76,-0.465
7000,naive,multiseed_axis1_naive_stable_seed7000,latest_300000_steps.zip,runs/research_v1/multiseed_axis1_select/multiseed_axis1_naive_stable_seed7000/checkpoint_selection.csv,runs/research_v1/eval_multiseed_axis1_naive_stable_seed7000_selected_finalheldout/eval/heldout_random.csv,0.47,0.27,0.36,0.53,0.7273699990901581,227.42,-0.42500000000000004,0.49,0.34,0.42,0.51,0.6895030250135055,268.94,-0.525
7000,fasb,multiseed_axis1_fasb_stable_seed7000,latest_200000_steps.zip,runs/research_v1/multiseed_axis1_select/multiseed_axis1_fasb_stable_seed7000/checkpoint_selection.csv,runs/research_v1/eval_multiseed_axis1_fasb_stable_seed7000_selected_finalheldout/eval/heldout_random.csv,0.51,0.27,0.37,0.49,0.7309759509452946,232.65,-0.375,0.46,0.23,0.54,0.54,0.6704281442858453,261.45,-0.5800000000000001
8000,naive,multiseed_axis1_naive_stable_seed8000,latest_300000_steps.zip,runs/research_v1/multiseed_axis1_select/multiseed_axis1_naive_stable_seed8000/checkpoint_selection.csv,runs/research_v1/eval_multiseed_axis1_naive_stable_seed8000_selected_finalheldout/eval/heldout_random.csv,0.54,0.24,0.45,0.46,0.7227837722191502,250.55,-0.38,0.46,0.17,0.42,0.54,0.7221671849570805,264.22,-0.39999999999999997
8000,fasb,multiseed_axis1_fasb_stable_seed8000,latest_300000_steps.zip,runs/research_v1/multiseed_axis1_select/multiseed_axis1_fasb_stable_seed8000/checkpoint_selection.csv,runs/research_v1/eval_multiseed_axis1_fasb_stable_seed8000_selected_finalheldout/eval/heldout_random.csv,0.55,0.23,0.38,0.45,0.7327673895812978,227.07,-0.2849999999999999,0.39,0.18,0.48,0.61,0.717288586057922,248.95,-0.575
