seed,method,eval_run,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_cost_mean,safety_efficiency_score
2000,mixed005,eval_axis2_mixed005_s2000,0.48,0.28,0.49,0.52,0.7066629388176271,260.5,-0.55
3000,mixed005,eval_axis2_mixed005_s3000,0.03,0.13,0.83,0.97,0.6365712250516019,416.01,-1.415
4000,mixed005,eval_axis2_mixed005_s4000,0.48,0.41,0.35,0.52,0.6936915366792357,262.38,-0.54
5000,mixed005,eval_axis2_mixed005_s5000,0.45,0.23,0.47,0.55,0.6892048283666706,244.81,-0.525
6000,mixed005,eval_axis2_mixed005_s6000,0.46,0.2,0.37,0.54,0.6905250431867175,244.12,-0.38
7000,mixed005,eval_axis2_mixed005_s7000,0.54,0.31,0.36,0.46,0.759461826012154,235.33,-0.36
2000,mixed030,eval_axis2_mixed030_s2000,0.47,0.28,0.44,0.53,0.6978385433350917,239.82,-0.5150000000000001
3000,mixed030,eval_axis2_mixed030_s3000,0.38,0.21,0.44,0.62,0.6540797899642422,257.77,-0.5800000000000001
4000,mixed030,eval_axis2_mixed030_s4000,0.48,0.2,0.46,0.52,0.7025671742923127,245.95,-0.44
5000,mixed030,eval_axis2_mixed030_s5000,0.36,0.24,0.5,0.64,0.6461602085552245,258.64,-0.7
6000,mixed030,eval_axis2_mixed030_s6000,0.55,0.37,0.39,0.45,0.7419667270799026,240.48,-0.4349999999999999
7000,mixed030,eval_axis2_mixed030_s7000,0.0,0.0,0.0,1.0,0.0145519181983123,0.0,-0.5
2000,mixed060,eval_axis2_mixed060_s2000,0.35,0.18,0.59,0.65,0.6297815623310021,277.59,-0.745
3000,mixed060,eval_axis2_mixed060_s3000,0.39,0.18,0.46,0.61,0.659454570965486,261.31,-0.5549999999999999
4000,mixed060,eval_axis2_mixed060_s4000,0.47,0.41,0.46,0.53,0.7246234326492498,250.52,-0.665
5000,mixed060,eval_axis2_mixed060_s5000,0.47,0.33,0.42,0.53,0.6868272247103674,245.36,-0.545
6000,mixed060,eval_axis2_mixed060_s6000,0.43,0.25,0.49,0.58,0.690117515691638,253.47,-0.6
7000,mixed060,eval_axis2_mixed060_s7000,0.42,0.16,0.44,0.58,0.6618710321026859,267.51,-0.47
2000,mixed090,eval_axis2_mixed090_s2000,0.42,0.25,0.48,0.58,0.7003562557136677,253.22,-0.6
3000,mixed090,eval_axis2_mixed090_s3000,0.46,0.23,0.37,0.54,0.6936422935248217,233.17,-0.41
4000,mixed090,eval_axis2_mixed090_s4000,0.45,0.26,0.4,0.55,0.6644866569242734,239.46,-0.485
5000,mixed090,eval_axis2_mixed090_s5000,0.41,0.2,0.49,0.59,0.6593525444596314,254.04,-0.575
6000,mixed090,eval_axis2_mixed090_s6000,0.39,0.2,0.44,0.61,0.656586863162787,266.09,-0.5549999999999999
7000,mixed090,eval_axis2_mixed090_s7000,0.44,0.24,0.51,0.56,0.7202393162743849,238.95,-0.5900000000000001
