failure_ratio,method,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_cost_mean,safety_efficiency_score
0.0,axis2_sampler_mixed000,0.37,0.15,0.52,0.64,0.6292836273247241,271.25,-0.6200000000000001
0.1,axis2_sampler_mixed010,0.42,0.18,0.43,0.58,0.7165654727731726,262.91,-0.48
0.2,axis2_sampler_mixed020,0.52,0.26,0.42,0.48,0.7347442224560331,220.91,-0.3999999999999999
0.3,axis2_sampler_mixed030,0.47,0.37,0.45,0.53,0.6775630028696646,255.41,-0.615
0.4,axis2_sampler_mixed040,0.46,0.26,0.46,0.54,0.6737452199413194,242.91,-0.53
0.5,axis2_sampler_mixed050,0.49,0.21,0.48,0.51,0.7223570841155599,246.71,-0.4549999999999999
0.6,axis2_sampler_mixed060_final,0.42,0.31,0.55,0.58,0.6648399432957663,261.0,-0.73
0.7,axis2_sampler_mixed070,0.45,0.24,0.43,0.55,0.6655551456331337,252.09,-0.495
0.8,axis2_sampler_mixed080,0.47,0.26,0.41,0.54,0.6945954260516823,244.82,-0.47
0.9,axis2_sampler_mixed090,0.41,0.2,0.5,0.59,0.6405156240153242,274.97,-0.585
0.95,axis2_sampler_mixed095,0.44,0.17,0.41,0.56,0.6682853590806817,240.71,-0.42
0.99,axis2_sampler_mixed099,0.48,0.26,0.47,0.52,0.7030364695841829,236.1,-0.51
1.0,axis2_sampler_mixed100,0.5,0.28,0.41,0.5,0.7155517678613296,256.39,-0.44
uniform,axis2_sampler_uniform,0.53,0.21,0.36,0.47,0.6976322573087572,243.17,-0.2749999999999999
