rep,variant,train_run,eval_run,metric,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_cost_mean,safety_efficiency_score,heldout_csv
1,adaptive_default,axis3_adaptive_default_s42_rep01,eval_axis3_adaptive_default_s42_rep01,-0.54,0.44,0.18,0.52,0.56,0.6504256627453429,247.82,-0.54,runs/research_v1/eval_axis3_adaptive_default_s42_rep01/eval/heldout_random.csv
1,adaptive_loose,axis3_adaptive_loose_s42_rep01,eval_axis3_adaptive_loose_s42_rep01,-0.24500000000000008,0.57,0.28,0.32,0.43,0.7326686564796525,256.95,-0.24500000000000008,runs/research_v1/eval_axis3_adaptive_loose_s42_rep01/eval/heldout_random.csv
1,adaptive_strict,axis3_adaptive_strict_s42_rep01,eval_axis3_adaptive_strict_s42_rep01,-0.45,0.48,0.18,0.49,0.52,0.6920643284677852,224.54,-0.45,runs/research_v1/eval_axis3_adaptive_strict_s42_rep01/eval/heldout_random.csv
1,fixed003,axis3_fixed003_s42_rep01,eval_axis3_fixed003_s42_rep01,-0.7250000000000001,0.37,0.22,0.56,0.63,0.6509608514759282,282.73,-0.7250000000000001,runs/research_v1/eval_axis3_fixed003_s42_rep01/eval/heldout_random.csv
1,fixed005,axis3_fixed005_s42_rep01,eval_axis3_fixed005_s42_rep01,-0.645,0.37,0.2,0.5,0.63,0.626830757227724,267.36,-0.645,runs/research_v1/eval_axis3_fixed005_s42_rep01/eval/heldout_random.csv
1,fixed010,axis3_fixed010_s42_rep01,eval_axis3_fixed010_s42_rep01,-0.75,0.36,0.25,0.54,0.64,0.6512601044666724,273.96,-0.75,runs/research_v1/eval_axis3_fixed010_s42_rep01/eval/heldout_random.csv
2,adaptive_default,axis3_adaptive_default_s42_rep02,eval_axis3_adaptive_default_s42_rep02,-0.69,0.4,0.26,0.53,0.6,0.6483818866538291,287.37,-0.69,runs/research_v1/eval_axis3_adaptive_default_s42_rep02/eval/heldout_random.csv
2,adaptive_loose,axis3_adaptive_loose_s42_rep02,eval_axis3_adaptive_loose_s42_rep02,-0.925,0.27,0.16,0.67,0.73,0.6392563305341105,304.28,-0.925,runs/research_v1/eval_axis3_adaptive_loose_s42_rep02/eval/heldout_random.csv
2,adaptive_strict,axis3_adaptive_strict_s42_rep02,eval_axis3_adaptive_strict_s42_rep02,-0.44000000000000006,0.49,0.28,0.39,0.52,0.7169771205595008,228.28,-0.44000000000000006,runs/research_v1/eval_axis3_adaptive_strict_s42_rep02/eval/heldout_random.csv
2,fixed003,axis3_fixed003_s42_rep02,eval_axis3_fixed003_s42_rep02,-0.615,0.39,0.25,0.45,0.61,0.7104586394467438,258.09,-0.615,runs/research_v1/eval_axis3_fixed003_s42_rep02/eval/heldout_random.csv
2,fixed005,axis3_fixed005_s42_rep02,eval_axis3_fixed005_s42_rep02,-0.21500000000000005,0.57,0.23,0.34,0.43,0.741477732318327,218.44,-0.21500000000000005,runs/research_v1/eval_axis3_fixed005_s42_rep02/eval/heldout_random.csv
2,fixed010,axis3_fixed010_s42_rep02,eval_axis3_fixed010_s42_rep02,-0.4050000000000001,0.47,0.28,0.33,0.53,0.6913290061592032,252.41,-0.4050000000000001,runs/research_v1/eval_axis3_fixed010_s42_rep02/eval/heldout_random.csv
3,adaptive_default,axis3_adaptive_default_s42_rep03,eval_axis3_adaptive_default_s42_rep03,-0.585,0.39,0.18,0.49,0.61,0.6444981238287616,254.15,-0.585,runs/research_v1/eval_axis3_adaptive_default_s42_rep03/eval/heldout_random.csv
3,adaptive_loose,axis3_adaptive_loose_s42_rep03,eval_axis3_adaptive_loose_s42_rep03,-0.54,0.42,0.21,0.46,0.58,0.6494787525725155,265.78,-0.54,runs/research_v1/eval_axis3_adaptive_loose_s42_rep03/eval/heldout_random.csv
3,adaptive_strict,axis3_adaptive_strict_s42_rep03,eval_axis3_adaptive_strict_s42_rep03,-0.385,0.51,0.28,0.37,0.49,0.6996687880459924,243.46,-0.385,runs/research_v1/eval_axis3_adaptive_strict_s42_rep03/eval/heldout_random.csv
