seed,variant,run,selected_checkpoint,dev_success_rate,dev_collision_rate,dev_offroad_rate,dev_timeout_rate,dev_route_completion_mean,dev_episode_cost_mean,dev_safety_efficiency_score,success_rate,collision_rate,offroad_rate,timeout_rate,route_completion_mean,episode_cost_mean,cost_violation_rate,safety_efficiency_score
42,axis4_cost_crash_only,axis4_cost_crash_only_seed42,latest_200000_steps.zip,0.53,0.25,0.43,0.48,0.6932194714806037,229.29,-0.38999999999999996,0.42,0.31,0.43,0.58,0.7009724963981945,257.45,0.0,-0.61
2000,axis4_cost_crash_only,axis4_cost_crash_only_seed2000,latest_300000_steps.zip,0.5,0.17,0.41,0.5,0.6961730382688174,237.98,-0.33,0.34,0.19,0.53,0.66,0.6385711391013256,276.15,0.0,-0.71
3000,axis4_cost_crash_only,axis4_cost_crash_only_seed3000,latest_200000_steps.zip,0.51,0.17,0.4,0.49,0.7063549272139231,233.24,-0.30500000000000005,0.36,0.21,0.52,0.64,0.6636013351710842,268.91,0.0,-0.69
42,axis4_cost_default,axis4_cost_default_seed42,final.zip,0.52,0.26,0.35,0.48,0.6897293271849866,245.87,-0.32999999999999996,0.52,0.28,0.36,0.48,0.7169690486003725,237.45,0.0,-0.36
2000,axis4_cost_default,axis4_cost_default_seed2000,latest_100000_steps.zip,0.47,0.23,0.34,0.53,0.6996995316896846,245.97,-0.3650000000000001,0.46,0.27,0.39,0.54,0.6809595448058569,250.88,0.0,-0.47000000000000003
3000,axis4_cost_default,axis4_cost_default_seed3000,latest_300000_steps.zip,0.53,0.29,0.49,0.47,0.7266203311000826,294.85,-0.48499999999999993,0.54,0.25,0.48,0.46,0.7435873973103867,265.34,0.0,-0.41999999999999993
42,axis4_cost_event_driving,axis4_cost_event_driving_seed42,latest_100000_steps.zip,0.56,0.33,0.26,0.44,0.7204431498125665,229.05,-0.24999999999999997,0.51,0.39,0.37,0.49,0.7233430743656422,243.69,0.0,-0.495
2000,axis4_cost_event_driving,axis4_cost_event_driving_seed2000,final.zip,0.55,0.34,0.34,0.45,0.7009741378282787,242.1,-0.355,0.51,0.3,0.34,0.49,0.7144289807810138,231.09,0.0,-0.375
3000,axis4_cost_event_driving,axis4_cost_event_driving_seed3000,latest_100000_steps.zip,0.46,0.17,0.41,0.54,0.6850908922653984,232.78,-0.38999999999999996,0.45,0.21,0.46,0.55,0.6677115601196029,238.43,0.0,-0.495
42,axis4_cost_nearmiss_heavy,axis4_cost_nearmiss_heavy_seed42,final.zip,0.5,0.17,0.38,0.5,0.6774343176638233,243.72,-0.30000000000000004,0.38,0.22,0.43,0.62,0.6592982328454905,267.09,0.0,-0.5800000000000001
2000,axis4_cost_nearmiss_heavy,axis4_cost_nearmiss_heavy_seed2000,latest_300000_steps.zip,0.58,0.31,0.44,0.43,0.7418000072547031,266.02,-0.385,0.46,0.17,0.44,0.54,0.7071031866875734,276.62,0.0,-0.42
3000,axis4_cost_nearmiss_heavy,axis4_cost_nearmiss_heavy_seed3000,final.zip,0.54,0.28,0.44,0.46,0.7050746863041695,237.79,-0.41000000000000003,0.48,0.25,0.42,0.52,0.710285522292527,254.34,0.0,-0.45
